"Paper","Year","Venue","Category","Link","Code","Why Relevant","Priority"
"Variational Graph Auto-Encoders","2016","NIPS Workshop on Bayesian Deep Learning","早期图自监督学习","https://arxiv.org/abs/1611.07308","https://github.com/tkipf/gae","早期将自编码器和 GCN 编码器结合用于无监督图表示学习，是 GraphMAE 类生成式路线的重要前史。","High"
"Deep Graph Infomax","2019","ICLR","早期图自监督学习","https://openreview.net/forum?id=rklz9iAcKQ","https://github.com/PetarV-/DGI","提出局部节点/patch 表示与全图 summary 的互信息最大化，是后续 GCL 中 local-global contrast 的核心起点。","High"
"Strategies for Pre-training Graph Neural Networks","2020","ICLR","早期图自监督学习","https://openreview.net/forum?id=HJlWWJSFDH","https://github.com/snap-stanford/pretrain-gnns","系统研究 node-level 与 graph-level 预训练策略，提出 context prediction、attribute masking、edge prediction 等任务，对方法型论文的预训练设计很关键。","High"
"Contrastive Multi-View Representation Learning on Graphs","2020","ICML","基础图对比学习","https://arxiv.org/abs/2006.05582","https://github.com/kavehhassani/mvgrl","MVGRL 用邻接视图与 diffusion 视图做多视图对比，同时覆盖 node-level 和 graph-level，是理解 view design 的基础论文。","High"
"GCC: Graph Contrastive Coding for Graph Neural Network Pre-Training","2020","KDD","基础图对比学习","https://dl.acm.org/doi/10.1145/3394486.3403168","https://github.com/THUDM/GCC","提出跨网络的子图实例判别预训练，强调结构模式可迁移性，是 GCL 走向预训练范式的重要工作。","High"
"Deep Graph Contrastive Representation Learning","2020","ICML Workshop on Graph Representation Learning and Beyond","基础图对比学习","https://arxiv.org/abs/2006.04131","https://github.com/CRIPAC-DIG/GRACE","GRACE 直接对齐两种扰动视图下的同一节点表示，形成了后续 node-level GCL 的标准范式。","High"
"Simple Unsupervised Graph Representation Learning","2022","AAAI","node-level GCL","https://ojs.aaai.org/index.php/AAAI/article/view/20748","https://github.com/YujieMo/SUGRL","SUGRL 关注简单、高效的无监督节点表示学习，可作为 node-level GCL 简化路线和效率 baseline。","Medium"
"Self-Supervised Graph Representation Learning via Global Context Prediction","2020","arXiv","node-level GCL","https://arxiv.org/abs/2003.01604","Unknown","用全局上下文预测构造节点级自监督信号，适合对比 GCL 与 predictive SSL 的监督信号差异。","Medium"
"InfoGraph: Unsupervised and Semi-supervised Graph-Level Representation Learning via Mutual Information Maximization","2020","ICLR","graph-level GCL","https://arxiv.org/abs/1908.01000","https://github.com/sunfanyunn/InfoGraph","将图级表示与多尺度子结构表示做互信息最大化，是 graph-level 表示学习和分子/社交图实验的经典基线。","High"
"Self-supervised Graph-level Representation Learning with Local and Global Structure","2021","ICML","graph-level GCL","https://arxiv.org/abs/2106.04113","https://github.com/DeepGraphLearning/GraphLoG","GraphLoG 同时建模图实例的局部相似和全局语义原型，对 graph-level 方法如何超越局部增强很有参考价值。","Medium"
"Graph Contrastive Learning with Augmentations","2020","NeurIPS","augmentation-based GCL","https://proceedings.neurips.cc/paper/2020/hash/3fe230348e9a12c13120749e3f9fa4cd-Abstract.html","https://github.com/Shen-Lab/GraphCL","GraphCL 系统研究 node dropping、edge perturbation、attribute masking、subgraph 等图增强，是 augmentation-based GCL 的核心起点。","High"
